alert_sk,sensor_id,sensor_name,equipment_name,process_area,kpi_date,avg_reading,stddev_reading,min_reading,max_reading,total_readings,stability_level,signal_quality,coefficient_of_variation,has_outlier,expected_lower,expected_upper,range_violated,prev_stddev,volatility_trend,spike_status,alert_severity
3ff17c8b8ed52d7b216ffd1bc3bbafdc,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-12,139.77,3.84,132.55,146.78,14054,STABLE,CLEAN,0.0275,False,135.93,143.61,True,3.61,STEADY,NORMAL,OK
8bda05e33b0af76baacc16d9c0d60666,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-13,139.55,2.92,134.33,144.5,12681,STABLE,CLEAN,0.0209,False,136.63,142.47,True,3.84,IMPROVING,NORMAL,OK
131381486a034c99d438bacab19afeff,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-14,140.83,2.9,135.34,146.22,10648,STABLE,CLEAN,0.0206,False,137.93,143.73,True,2.92,STEADY,NORMAL,OK
592e22217a55fdc829c3b20c727079ad,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-15,139.67,3.72,132.78,146.74,8723,STABLE,CLEAN,0.0266,False,135.95,143.39,True,2.9,INCREASING,NORMAL,OK
c785388779a73cd2f76abb2c1c7643cc,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-16,140.05,3.9,132.53,146.8,10643,STABLE,CLEAN,0.0278,False,136.15,143.95,True,3.72,STEADY,NORMAL,OK
2a25921bd9e60066f086deab0ee754e9,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-17,139.2,3.86,132.51,146.48,8403,STABLE,CLEAN,0.0277,False,135.34,143.06,True,3.9,STEADY,NORMAL,OK
16189e4ade38b53b52cbc912f719092f,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-18,139.12,3.16,134.01,144.61,12587,STABLE,CLEAN,0.0227,False,135.96,142.28,True,3.86,IMPROVING,NORMAL,OK
b183970e66b8d59fb916b1a9628fd347,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-19,140.3,3.16,134.34,145.59,8886,STABLE,CLEAN,0.0225,False,137.14,143.46,True,3.16,STEADY,NORMAL,OK
020aa036b8eb1e3f4d6e325d1c2a9e72,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-20,140.4,3.79,134.27,146.83,13018,STABLE,CLEAN,0.027,False,136.61,144.19,True,3.16,INCREASING,NORMAL,OK
19a4d6c02274ca7ea8d39ed064e2ca84,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-21,139.78,3.53,133.62,146.01,13464,STABLE,CLEAN,0.0253,False,136.25,143.31,True,3.79,STEADY,NORMAL,OK
ae080cf2c63e686ff2cd7cb4ff575ce8,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-22,139.31,3.45,133.14,145.1,13616,STABLE,CLEAN,0.0248,False,135.86,142.76,True,3.53,STEADY,NORMAL,OK
841e8d6e4a63a3cf7ca7e71ddb055188,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-23,140.69,3.73,133.53,147.48,9861,STABLE,CLEAN,0.0265,False,136.96,144.42,True,3.45,STEADY,NORMAL,OK
345fc6a7f0454bece5c0c003a5e5677d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-24,139.52,3.51,133.12,145.91,8396,STABLE,CLEAN,0.0252,False,136.01,143.03,True,3.73,STEADY,NORMAL,OK
fccb1895dad515da6504cc2b94df7140,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-25,140.95,3.19,135.43,150.25,15219,STABLE,CLEAN,0.0226,True,137.76,144.14,True,3.51,STEADY,NORMAL,WARNING
9bd25f3c36bc10aaf5038e9453da7f2d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-26,140.72,3.5,134.91,147.51,8000,STABLE,CLEAN,0.0249,False,137.22,144.22,True,3.19,STEADY,NORMAL,OK
e50c5dd9b2df77b0ef8db6bf6caa91e9,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-27,140.57,4.27,132.31,148.37,11495,STABLE,CLEAN,0.0304,False,136.3,144.84,True,3.5,INCREASING,NORMAL,OK
c95e79236b450d4db060a1fc46a3751c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-28,140.13,3.85,133.13,146.34,15939,STABLE,CLEAN,0.0275,False,136.28,143.98,True,4.27,STEADY,NORMAL,OK
7212b96f929ba111b7cab0d23093f7cf,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-29,140.19,3.82,134.03,146.82,8200,STABLE,CLEAN,0.0272,False,136.37,144.01,True,3.85,STEADY,NORMAL,OK
1fd86767fe501929a538c96871e4463c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-30,140.06,3.29,133.84,146.2,8643,STABLE,CLEAN,0.0235,False,136.77,143.35,True,3.82,IMPROVING,NORMAL,OK
f5280dc6160bc69bb291b2b2ad9ac6d0,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-01,139.89,4.12,131.95,153.79,15964,STABLE,CLEAN,0.0295,True,135.77,144.01,True,3.29,INCREASING,NORMAL,WARNING
0f26a1cf79080aadefe71d647feb9502,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-02,139.96,3.37,134.38,145.75,13776,STABLE,CLEAN,0.0241,False,136.59,143.33,True,4.12,IMPROVING,SPIKE,OK
d1e99cda4a22bbdaec76425f99371bcd,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-03,140.13,3.55,134.29,146.62,9557,STABLE,CLEAN,0.0253,False,136.58,143.68,True,3.37,STEADY,NORMAL,OK
416d8b4a5cb053d36eaee3a88c5ea514,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-04,140.32,3.72,133.83,147.51,11968,STABLE,CLEAN,0.0265,False,136.6,144.04,True,3.55,STEADY,NORMAL,OK
1040f2ef874b8b7212e517f2a8153355,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-05,139.98,3.33,133.93,145.47,8709,STABLE,CLEAN,0.0238,False,136.65,143.31,True,3.72,IMPROVING,NORMAL,OK
9278c1914ee80cdf24bdf85bc19a686c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-06,139.94,3.35,133.68,145.88,8413,STABLE,CLEAN,0.0239,False,136.59,143.29,True,3.33,STEADY,NORMAL,OK
49546bd652a4327eb818faa6d72b6213,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-07,140.44,4.0,132.77,148.0,10809,STABLE,CLEAN,0.0285,False,136.44,144.44,True,3.35,INCREASING,NORMAL,OK
8f5ef7b986bdfc2a0c9a630474f2e15d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-08,140.6,3.17,134.9,146.14,10808,STABLE,CLEAN,0.0225,False,137.43,143.77,True,4.0,IMPROVING,NORMAL,OK
79f229ada47b2ad9c32336dfdf8697e6,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-09,141.19,3.72,134.08,147.8,9826,STABLE,CLEAN,0.0263,False,137.47,144.91,True,3.17,INCREASING,NORMAL,OK
b31cb9e924a79d2326f26bb8313cb983,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-10,139.49,3.94,132.91,146.94,9479,STABLE,CLEAN,0.0282,False,135.55,143.43,True,3.72,STEADY,NORMAL,OK
13b5adc6b07900279f6041c4eb764585,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-11,140.18,3.66,133.19,146.41,11428,STABLE,CLEAN,0.0261,False,136.52,143.84,True,3.94,STEADY,NORMAL,OK
a854589603f2acd26f319a60a136e853,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-12,139.56,4.26,131.54,147.0,8039,STABLE,CLEAN,0.0305,False,135.3,143.82,True,3.66,INCREASING,NORMAL,OK
a8a38ed10c8024383be5e85ba45cdad4,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-13,140.65,3.6,134.76,147.12,13316,STABLE,CLEAN,0.0256,False,137.05,144.25,True,4.26,IMPROVING,NORMAL,OK
178de27b4b28b1040bd30f43a8a7fbc7,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-14,140.11,3.91,132.74,147.04,13517,STABLE,CLEAN,0.0279,False,136.2,144.02,True,3.6,STEADY,NORMAL,OK
6dfcc3af317f3ece4513cf07bd0ce30c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-15,139.3,2.92,134.18,144.59,11172,STABLE,CLEAN,0.021,False,136.38,142.22,True,3.91,IMPROVING,NORMAL,OK
412630228bc564ffe596c2421beff040,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-16,140.0,3.83,132.88,147.21,10474,STABLE,CLEAN,0.0274,False,136.17,143.83,True,2.92,INCREASING,NORMAL,OK
bcf32c12fc713e5be37f0e26ea0352c3,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-17,140.81,3.57,134.73,147.25,12655,STABLE,CLEAN,0.0254,False,137.24,144.38,True,3.83,STEADY,NORMAL,OK
ec382997b556b880a66f125fada52482,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-18,139.98,3.53,133.86,146.8,13938,STABLE,CLEAN,0.0252,False,136.45,143.51,True,3.57,STEADY,NORMAL,OK
08d2196f224798e4f7ceffaad133248d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-19,140.63,3.38,134.19,146.52,13371,STABLE,CLEAN,0.024,False,137.25,144.01,True,3.53,STEADY,NORMAL,OK
02de42e459a080ae5baea20494dbebbd,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-20,139.49,3.17,133.44,145.07,8198,STABLE,CLEAN,0.0227,False,136.32,142.66,True,3.38,STEADY,NORMAL,OK
d66f42d82e4af8aa429d0c3a198d0d05,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-21,140.15,4.34,132.83,147.47,11102,STABLE,CLEAN,0.031,False,135.81,144.49,True,3.17,INCREASING,NORMAL,OK
75018ca8fa153ba5ad7e3c00baf28ce0,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-22,139.99,3.29,134.08,145.28,15692,STABLE,CLEAN,0.0235,False,136.7,143.28,True,4.34,IMPROVING,NORMAL,OK
8d5ac0dd44d31ec323f8d8d979d43937,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-23,139.47,3.25,133.42,144.87,9811,STABLE,CLEAN,0.0233,False,136.22,142.72,True,3.29,STEADY,NORMAL,OK
968003cf887c52c3123e58102b216fd1,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-24,139.86,3.49,133.59,145.81,9277,STABLE,CLEAN,0.025,False,136.37,143.35,True,3.25,STEADY,NORMAL,OK
8811e225c518548d8c77454e7401940f,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-25,140.25,3.42,133.94,146.35,11147,STABLE,CLEAN,0.0244,False,136.83,143.67,True,3.49,STEADY,NORMAL,OK
02402bf9f73618d7cc35f5df37d81424,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-26,140.65,3.42,134.23,146.56,10414,STABLE,CLEAN,0.0243,False,137.23,144.07,True,3.42,STEADY,NORMAL,OK
f788d8fc93918ab67bd10be5bd73b583,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-27,139.08,3.42,132.75,144.81,14755,STABLE,CLEAN,0.0246,False,135.66,142.5,True,3.42,STEADY,NORMAL,OK
8815b164555029a84368de5b6ffb2034,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-28,139.81,3.99,132.48,147.17,12537,STABLE,CLEAN,0.0285,False,135.82,143.8,True,3.42,INCREASING,NORMAL,OK
2c8ee6f13ccf6038bab6b8cd7d674ecb,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-29,139.55,3.8,133.37,146.05,15056,STABLE,CLEAN,0.0272,False,135.75,143.35,True,3.99,STEADY,NORMAL,OK
bbe7e97d6e69d3b25c19d3c7a605d478,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-30,140.21,2.5,135.51,144.35,8709,STABLE,CLEAN,0.0178,False,137.71,142.71,True,3.8,IMPROVING,NORMAL,OK
c76b4bf71be26732b78094fafd5aa0f2,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-10-31,139.96,3.1,134.44,145.63,13402,STABLE,CLEAN,0.0221,False,136.86,143.06,True,2.5,INCREASING,NORMAL,OK
249c9fc3dedabc5e70efb6fa1b2d9576,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-01,139.43,3.56,133.46,145.57,11806,STABLE,CLEAN,0.0255,False,135.87,142.99,True,3.1,INCREASING,NORMAL,OK
0eba547cfc08b630ee53e4aec0e1d087,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-02,139.81,3.18,133.78,145.33,8935,STABLE,CLEAN,0.0227,False,136.63,142.99,True,3.56,IMPROVING,NORMAL,OK
a457db1bf5a219a8387fb18f3d38887c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-03,140.91,3.34,135.15,146.98,9791,STABLE,CLEAN,0.0237,False,137.57,144.25,True,3.18,STEADY,NORMAL,OK
d37683273ad639fb82a682da4be673a6,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-04,141.29,3.99,134.08,147.76,15907,STABLE,CLEAN,0.0282,False,137.3,145.28,True,3.34,INCREASING,NORMAL,OK
ee10c956a3eb203603ae1df8ed719f45,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-05,140.61,3.87,134.36,147.02,13119,STABLE,CLEAN,0.0275,False,136.74,144.48,True,3.99,STEADY,NORMAL,OK
c23e9f88f507362c404e95f69d214172,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-06,140.21,3.36,134.49,146.24,10630,STABLE,CLEAN,0.024,False,136.85,143.57,True,3.87,IMPROVING,NORMAL,OK
1d38b17c90c7e174304234c4c67ebfaa,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-07,140.17,3.76,132.9,146.27,8868,STABLE,CLEAN,0.0268,False,136.41,143.93,True,3.36,INCREASING,NORMAL,OK
e55c1d61af3e29b8aa343b05cc734857,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-08,140.47,3.31,134.32,146.7,15386,STABLE,CLEAN,0.0236,False,137.16,143.78,True,3.76,IMPROVING,NORMAL,OK
d40f03f8710d835b520ba7d01ccb13e7,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-09,140.51,3.7,133.74,147.26,12373,STABLE,CLEAN,0.0263,False,136.81,144.21,True,3.31,INCREASING,NORMAL,OK
11204674f75fc0994f0692a3aa56dc10,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-10,140.29,3.34,134.44,146.14,11702,STABLE,CLEAN,0.0238,False,136.95,143.63,True,3.7,STEADY,NORMAL,OK
995a0c79959a362d0e5e5d9c7b597a03,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-11,140.56,3.63,134.27,147.35,10964,STABLE,CLEAN,0.0258,False,136.93,144.19,True,3.34,STEADY,NORMAL,OK
dfcaeb976ddd5a22f709dd39d2f28cae,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-12,139.76,4.02,132.01,147.26,12702,STABLE,CLEAN,0.0288,False,135.74,143.78,True,3.63,INCREASING,NORMAL,OK
d174f946b1e0e9cccb651162357a743b,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-13,139.7,3.7,133.37,146.29,9598,STABLE,CLEAN,0.0265,False,136.0,143.4,True,4.02,STEADY,NORMAL,OK
c86a6703fd12f3631c2a10cba23e197d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-14,140.51,3.81,133.18,152.19,13982,STABLE,CLEAN,0.0271,True,136.7,144.32,True,3.7,STEADY,NORMAL,WARNING
3bae8a80307beb8095b8035d08699f96,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-15,139.28,3.28,133.57,144.84,8134,STABLE,CLEAN,0.0235,False,136.0,142.56,True,3.81,IMPROVING,SPIKE,OK
77cea08bc7229e89f19f7793a877450f,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-16,139.72,2.99,134.59,145.07,8162,STABLE,CLEAN,0.0214,False,136.73,142.71,True,3.28,STEADY,NORMAL,OK
431d4016ec9c118b9b6219c4274344ad,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-17,140.35,3.14,135.17,145.52,11275,STABLE,CLEAN,0.0224,False,137.21,143.49,True,2.99,STEADY,NORMAL,OK
211592de5a5eb32fb196baca1489cc56,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-18,139.13,4.37,130.64,146.26,8193,STABLE,CLEAN,0.0314,False,134.76,143.5,True,3.14,INCREASING,NORMAL,OK
fc09dcd0420f1ca8e77f5fd2856fb64b,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-19,139.94,3.69,132.74,146.05,12500,STABLE,CLEAN,0.0264,False,136.25,143.63,True,4.37,IMPROVING,NORMAL,OK
efc71d2d3bfb93b9dcecf08890dc41c1,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-20,140.58,3.7,133.91,147.7,11360,STABLE,CLEAN,0.0263,False,136.88,144.28,True,3.69,STEADY,NORMAL,OK
04b59f57274915988a8dd2df9de494cc,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-21,140.41,3.84,133.94,146.77,12133,STABLE,CLEAN,0.0273,False,136.57,144.25,True,3.7,STEADY,NORMAL,OK
bc9c3bd8166008262d00fc55ef3e065f,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-22,139.57,4.05,132.86,146.06,12267,STABLE,CLEAN,0.029,False,135.52,143.62,True,3.84,STEADY,NORMAL,OK
402a5c65d7aa988b45dd5c6479bcf854,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-23,140.33,3.23,134.38,145.91,9354,STABLE,CLEAN,0.023,False,137.1,143.56,True,4.05,IMPROVING,NORMAL,OK
16261c1fd4ce574ffb61e0542d07b91d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-24,140.8,3.52,134.59,147.26,12718,STABLE,CLEAN,0.025,False,137.28,144.32,True,3.23,STEADY,NORMAL,OK
7f2d62a3bb3560b942f34ae8012ded3b,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-25,140.06,2.72,134.94,144.62,15314,STABLE,CLEAN,0.0194,False,137.34,142.78,True,3.52,IMPROVING,NORMAL,OK
83c7bd0bf2116444e0279620b6d83327,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-26,140.16,3.81,132.78,147.33,9957,STABLE,CLEAN,0.0272,False,136.35,143.97,True,2.72,INCREASING,NORMAL,OK
acbc60bda5e4681ae0fe37b8482c4707,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-27,140.07,3.36,134.3,146.06,8749,STABLE,CLEAN,0.024,False,136.71,143.43,True,3.81,IMPROVING,NORMAL,OK
19645c993f4a994d365009450bb81d78,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-28,139.65,3.27,133.75,145.0,14213,STABLE,CLEAN,0.0234,False,136.38,142.92,True,3.36,STEADY,NORMAL,OK
f1978dacd4c88ee11cf6f1817d79467d,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-29,139.71,3.01,134.4,144.71,10707,STABLE,CLEAN,0.0215,False,136.7,142.72,True,3.27,STEADY,NORMAL,OK
52a3d2574e102d36476f94a8d2710250,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-11-30,140.6,3.51,134.19,147.22,10563,STABLE,CLEAN,0.025,False,137.09,144.11,True,3.01,INCREASING,NORMAL,OK
fe52fbefdf8a708ef3cb60d25f6c62ff,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-02,6.47,0.44,5.63,7.27,15052,STABLE,CLEAN,0.068,False,6.03,6.91,True,,NO_HISTORY,NO_HISTORY,OK
64969018f58f0a46db609913be1f6138,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-03,6.57,0.43,5.79,7.34,14120,STABLE,CLEAN,0.0654,False,6.14,7.0,True,0.44,STEADY,NORMAL,OK
6a1a897209d0b24d68aacb68ebbc8682,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-04,6.45,0.37,5.8,7.06,10619,STABLE,CLEAN,0.0574,False,6.08,6.82,True,0.43,IMPROVING,NORMAL,OK
9886dba23656c75e8623d2e7c8008056,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-05,6.55,0.36,5.94,7.23,13548,STABLE,CLEAN,0.055,False,6.19,6.91,True,0.37,STEADY,NORMAL,OK
34105cdbc3732c70e85cd1030bef0bed,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-06,6.42,0.47,5.52,7.27,8297,STABLE,CLEAN,0.0732,False,5.95,6.89,True,0.36,INCREASING,NORMAL,OK
9ec0238b09e100e61d44a9077eee311f,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-07,6.43,0.46,5.62,7.18,14083,STABLE,CLEAN,0.0715,False,5.97,6.89,True,0.47,STEADY,NORMAL,OK
7d2994fe3eb01ce46ba6f91425a93862,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-08,6.57,0.44,5.83,7.35,10679,STABLE,CLEAN,0.067,False,6.13,7.01,True,0.46,STEADY,NORMAL,OK
e5544e6d442f62654fc839fb34e889d8,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-09,6.5,0.41,5.74,7.73,11948,STABLE,CLEAN,0.0631,True,6.09,6.91,True,0.44,STEADY,NORMAL,WARNING
5aae33eb3a23c0451cb66a6da1510bd7,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-10,6.47,0.4,5.75,7.16,8844,STABLE,CLEAN,0.0618,False,6.07,6.87,True,0.41,STEADY,NORMAL,OK
3ec6cd0113def6d2e00191b4b65727d3,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-11,6.38,0.42,5.6,7.13,15528,STABLE,CLEAN,0.0658,False,5.96,6.8,True,0.4,STEADY,NORMAL,OK
a49c7a91f86a2668e378b47635461ebb,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-12,6.52,0.4,5.8,7.19,14456,STABLE,CLEAN,0.0613,False,6.12,6.92,True,0.42,STEADY,NORMAL,OK
f1ab8c9dcfa3037557a367f6b2e2d3be,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-13,6.53,0.39,5.78,7.27,9791,STABLE,CLEAN,0.0597,False,6.14,6.92,True,0.4,STEADY,NORMAL,OK
9970c2cad82478c539dfc37d6e1d9c91,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-14,6.54,0.43,5.7,7.39,13345,STABLE,CLEAN,0.0657,False,6.11,6.97,True,0.39,INCREASING,NORMAL,OK
9ec04cec5ddf7973e41bfb11f36f8281,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-15,6.5,0.36,5.87,7.14,14662,STABLE,CLEAN,0.0554,False,6.14,6.86,True,0.43,IMPROVING,NORMAL,OK
eb9c371652485249d15c894f8ccc1e1f,S-PRS-401,V-401 Pressure,V-401 Production Separator,Wellhead Platform,2025-09-16,6.59,0.36,5.99,7.21,11300,STABLE,CLEAN,0.0546,False,6.23,6.95,True,0.36,STEADY,NORMAL,OK
